Id,SalePrice
1461,124146.914062
1462,153455.0
1463,177497.875
1464,183488.25
1465,201821.09375
1466,173797.25
1467,165876.75
1468,166190.375
1469,182317.109375
1470,122436.34375
1471,201887.890625
1472,98555.859375
1473,95002.0703125
1474,156415.0
1475,134267.078125
1476,354488.75
1477,246514.0
1478,293321.28125
1479,261508.5625
1480,500993.8125
1481,315725.3125
1482,208796.90625
1483,171552.3125
1484,171189.671875
1485,174529.078125
1486,192379.96875
1487,330602.625
1488,236444.703125
1489,191930.21875
1490,201209.3125
1491,190518.125
1492,90629.515625
1493,186205.5625
1494,301554.0
1495,297612.59375
1496,232688.734375
1497,177468.78125
1498,162618.265625
1499,157764.375
1500,143856.734375
1501,171222.40625
1502,152878.4375
1503,291508.625
1504,224705.140625
1505,219751.609375
1506,185495.71875
1507,230071.625
1508,201573.578125
1509,156960.890625
1510,140029.09375
1511,140155.796875
1512,166071.40625
1513,147819.578125
1514,170799.21875
1515,181003.46875
1516,171569.046875
1517,154310.078125
1518,133457.234375
1519,219468.734375
1520,134615.84375
1521,133832.109375
1522,166421.359375
1523,108946.59375
1524,128101.726562
1525,126074.515625
1526,120758.742188
1527,97363.1640625
1528,134563.609375
1529,144196.5625
1530,178973.71875
1531,105929.414062
1532,104482.875
1533,134985.40625
1534,120017.171875
1535,155539.4375
1536,115566.046875
1537,70865.09375
1538,168275.171875
1539,220461.046875
1540,101249.007812
1541,143933.765625
1542,136833.9375
1543,224156.140625
1544,87883.40625
1545,102866.242188
1546,127985.59375
1547,134072.09375
1548,130335.328125
1549,109603.820312
1550,141228.6875
1551,117286.09375
1552,128020.976562
1553,145962.953125
1554,113966.921875
1555,177682.296875
1556,88956.421875
1557,111688.765625
1558,91904.046875
1559,90348.9375
1560,144316.359375
1561,139126.828125
1562,130315.203125
1563,122992.867188
1564,158173.9375
1565,143010.9375
1566,223734.015625
1567,72003.6640625
1568,227722.734375
1569,146142.484375
1570,130977.804688
1571,132605.71875
1572,147202.140625
1573,261088.015625
1574,115411.109375
1575,219579.859375
1576,209869.296875
1577,189947.796875
1578,154907.640625
1579,142036.234375
1580,187909.234375
1581,144249.34375
1582,130214.710938
1583,327386.03125
1584,230532.0
1585,142289.828125
1586,78121.3671875
1587,98972.609375
1588,146045.578125
1589,97763.9765625
1590,138957.125
1591,106490.851562
1592,124221.34375
1593,129591.085938
1594,129876.085938
1595,109729.875
1596,232697.1875
1597,180616.984375
1598,196667.90625
1599,189556.28125
1600,194246.046875
1601,80775.9140625
1602,110408.4375
1603,89021.984375
1604,283589.8125
1605,250116.0625
1606,167468.6875
1607,166022.90625
1608,212323.140625
1609,189995.375
1610,153194.0625
1611,138703.09375
1612,164887.625
1613,157010.296875
1614,125000.492188
1615,88695.5859375
1616,80420.1875
1617,89787.1484375
1618,127516.320312
1619,135800.5
1620,147043.40625
1621,135562.328125
1622,140905.1875
1623,291811.3125
1624,214195.484375
1625,128833.828125
1626,165175.21875
1627,185241.0
1628,280226.78125
1629,172703.28125
1630,391349.75
1631,233237.9375
1632,251463.65625
1633,167005.96875
1634,178232.890625
1635,184248.859375
1636,157262.078125
1637,171707.015625
1638,202828.765625
1639,175323.84375
1640,264338.125
1641,172346.15625
1642,215411.984375
1643,229330.140625
1644,213256.1875
1645,180229.6875
1646,153644.15625
1647,168732.640625
1648,131864.578125
1649,135362.796875
1650,118257.625
1651,127003.007812
1652,98846.7421875
1653,97132.375
1654,152632.125
1655,155192.890625
1656,150833.296875
1657,152632.125
1658,150498.890625
1659,141636.21875
1660,146864.125
1661,464144.0625
1662,400018.21875
1663,378726.34375
1664,373185.0
1665,305852.84375
1666,335662.40625
1667,371730.8125
1668,325568.78125
1669,301078.78125
1670,332292.96875
1671,262310.21875
1672,498642.5
1673,303548.25
1674,243015.671875
1675,179490.265625
1676,183005.09375
1677,204525.765625
1678,470702.96875
1679,399683.65625
1680,331914.96875
1681,279540.75
1682,304199.46875
1683,177292.046875
1684,172753.5625
1685,175041.015625
1686,175539.078125
1687,167367.171875
1688,185881.921875
1689,190720.640625
1690,185827.0625
1691,171684.5625
1692,257853.125
1693,170096.0
1694,181401.765625
1695,165848.984375
1696,272243.15625
1697,166546.109375
1698,364260.09375
1699,328673.0
